No. (Start at 1)	How Did You Apply?	Company	Position	Date Applied	Role Status 	Stage	Link	Location	Resume	Follow Up
1	Online Application	Wolt	Product Lead	01/08/25	No Longer Recruiting	2 - Applied	https://www.linkedin.com/jobs/view/4117600916/?refId=cc7b1835-2964-4205-9244-ffd7c55c48ee&trackingId=fgdNBgMrRomsPNlOWXWP5A%3D%3D	 Helsnki		
2	Online Application	NewRelic	Sr PM	01/08/25	Rejected	2 - Applied	https://job-boards.greenhouse.io/newrelic/jobs/4481282008?gh_jid=4481282008&gh_src=f006f1208us	Hyderabad		
3	Online Application	Cloudera	Sr PM	01/08/25	Rejected	2 - Applied	https://cloudera.wd5.myworkdayjobs.com/External_Career/job/Hungary--Budapest/Sr-Product-Manager_250005-1?source=APPLICANT_SOURCE-3-187%2520%253B%2520APPLICANT_SOURCE-3-187	Hungary		
4	Online Application	TaylorWessing	AI PM	01/08/25	Rejected	2 - Applied	https://careers.taylorwessing.com/Careeropportunities/job/London-AI-Product-Manager/1142765555/?%26external_source=LinkedIn&external_source=LinkedIn	London		
5	Online Application	Primark	Platform PM	01/08/25	Rejected	2 - Applied	https://careers.primark.com/en/job/reading/platform-product-manager-data-and-analytics/8171/74767322416	London		
6	Online Application	Arm	Platform PM - AI/ML	09/01/25	Rejected	2 - Applied	https://experienced-arm.icims.com/jobs/13298/platform-product-manager---ai-ml/job?mode=submit_apply	London		
7	Personal Referral	Walmart	Staff PM	01/09/25	Rejected	2 - Applied	https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/XMLNAME--IND--STAFF--PRODUCT-MANAGER_R-2049169	Bengaluru	B2C	
8	Online Application	Paypal	Sr PM	01/09/25	Rejected	2 - Applied	https://paypal.eightfold.ai/careerhub/explore/jobs/274904227944	Bengaluru	Platform	
9	Online Application	Tealium	Sr PM	01/12/25	Rejected	2 - Applied	https://tealium.wd1.myworkdayjobs.com/Careers/job/Remote-United-Kingdom/Sr-Product-Manager--API-Platform--Remote-_-1?source=LinkedIn	London	Platform Engineering	
10	Online Application	OakNorth	Technical PM	01/12/25	Rejected	2 - Applied	https://oaknorth.co.uk/jobs/apply/?id=a610248e-a931-4dca-8c03-1b95047ae61d	London	Platform Engineering	
11	Online Application	Expedia	Sr PM	01/12/25	Rejected	2 - Applied	https://careers.expediagroup.com/jobs/job/?Senior+Product+Manager-London--j-R-93013-1	London	AI/ML	
